Temp,Dir,Pot1,Pot2
178,Up,-0.022,-0.032
178,Up,-0.027,-0.042
178,Up,-0.027,-0.037
178,Up,-0.027,-0.032
178,Up,-0.032,-0.037
178,Up,-0.027,-0.037
178,Up,-0.032,-0.042
178,Up,-0.032,-0.032
178,Up,-0.032,-0.032
178,Up,-0.032,-0.032
178,Up,-0.037,-0.032
178,Up,-0.027,-0.037
178,Up,-0.032,-0.032
178,Up,-0.037,-0.037
178,Up,-0.032,-0.037
178,Up,-0.032,-0.032
178,Up,-0.032,-0.037
178,Up,-0.032,-0.032
178,Up,-0.037,-0.037
178,Up,-0.042,-0.032
178,Up,-0.037,-0.037
178,Up,-0.037,-0.037
178,Up,-0.037,-0.037
178,Up,-0.037,-0.037
178,Up,-0.037,-0.037
178,Up,-0.037,-0.037
178,Up,-0.037,-0.037
178,Up,-0.037,-0.037
178,Up,-0.042,-0.037
178,Up,-0.032,-0.042
178,Up,-0.037,-0.037
178,Up,-0.042,-0.042
178,Up,-0.037,-0.037
178,Up,-0.042,-0.042
178,Up,-0.037,-0.042
178,Up,-0.037,-0.032
178,Up,-0.042,-0.042
178,Up,-0.042,-0.042
178,Up,-0.037,-0.037
178,Up,-0.042,-0.032
178,Up,-0.037,-0.037
178,Up,-0.042,-0.037
178,Up,-0.042,-0.042
178,Up,-0.042,-0.042
178,Up,-0.042,-0.042
178,Up,-0.042,-0.042
178,Up,-0.046,-0.046
178,Up,-0.042,-0.037
178,Up,-0.042,-0.042
178,Up,-0.046,-0.046
178,Up,-0.046,-0.042
178,Up,-0.037,-0.042
178,Up,-0.042,-0.042
178,Up,-0.042,-0.042
178,Up,-0.042,-0.042
178,Up,-0.042,-0.042
178,Up,-0.037,-0.046
178,Up,-0.037,-0.042
178,Up,-0.046,-0.042
178,Up,-0.037,-0.042
178,Up,-0.037,-0.046
178,Up,-0.046,-0.042
178,Up,-0.042,-0.042
178,Up,-0.046,-0.037
178,Up,-0.046,-0.042
178,Up,-0.046,-0.046
178,Up,-0.042,-0.042
178,Up,-0.046,-0.046
178,Up,-0.042,-0.046
178,Up,-0.042,-0.042
178,Up,-0.046,-0.042
178,Up,-0.046,-0.042
178,Up,-0.051,-0.042
178,Up,-0.046,-0.051
178,Up,-0.046,-0.046
178,Up,-0.042,-0.046
178,Up,-0.042,-0.046
178,Up,-0.042,-0.042
178,Up,-0.042,-0.046
178,Up,-0.042,-0.042
178,Up,-0.042,-0.046
178,Up,-0.046,-0.046
178,Up,-0.046,-0.046
178,Up,-0.051,-0.042
178,Up,-0.051,-0.042
178,Up,-0.051,-0.046
178,Up,-0.051,-0.051
178,Up,-0.046,-0.046
178,Up,-0.051,-0.051
178,Up,-0.046,-0.046
178,Up,-0.046,-0.046
178,Up,-0.046,-0.046
178,Up,-0.051,-0.042
178,Up,-0.046,-0.042
178,Up,-0.056,-0.051
178,Up,-0.046,-0.046
178,Up,-0.046,-0.046
178,Up,-0.051,-0.051
178,Up,-0.046,-0.046
178,Up,-0.046,-0.046
178,Up,-0.051,-0.046
178,Up,-0.051,-0.046
178,Up,-0.056,-0.042
178,Up,-0.056,-0.056
178,Up,-0.051,-0.051
178,Up,-0.046,-0.046
178,Up,-0.051,-0.046
178,Up,-0.051,-0.046
178,Up,-0.046,-0.046
178,Up,-0.056,-0.046
178,Up,-0.056,-0.046
178,Up,-0.056,-0.051
178,Up,-0.051,-0.051
178,Up,-0.051,-0.056
178,Up,-0.051,-0.051
178,Up,-0.056,-0.046
178,Up,-0.056,-0.046
178,Up,-0.056,-0.046
178,Up,-0.056,-0.051
178,Up,-0.051,-0.051
178,Up,-0.056,-0.051
178,Up,-0.056,-0.051
178,Up,-0.051,-0.046
178,Up,-0.046,-0.046
178,Up,-0.056,-0.051
178,Up,-0.056,-0.046
178,Up,-0.056,-0.046
178,Up,-0.056,-0.046
178,Up,-0.056,-0.046
178,Up,-0.061,-0.051
178,Up,-0.061,-0.051
178,Up,-0.056,-0.046
178,Up,-0.061,-0.051
178,Up,-0.061,-0.056
178,Up,-0.061,-0.051
178,Up,-0.061,-0.042
178,Up,-0.061,-0.046
178,Up,-0.066,-0.046
178,Up,-0.061,-0.042
178,Up,-0.071,-0.051
178,Up,-0.066,-0.046
178,Up,-0.066,-0.051
178,Up,-0.071,-0.051
178,Up,-0.066,-0.051
178,Up,-0.071,-0.042
178,Up,-0.071,-0.046
178,Up,-0.071,-0.046
178,Up,-0.066,-0.042
178,Up,-0.071,-0.042
178,Up,-0.071,-0.046
178,Up,-0.071,-0.051
178,Up,-0.066,-0.056
178,Up,-0.071,-0.046
178,Up,-0.071,-0.042
178,Up,-0.071,-0.046
178,Up,-0.066,-0.042
178,Up,-0.071,-0.042
178,Up,-0.076,-0.046
178,Up,-0.076,-0.046
178,Up,-0.076,-0.042
178,Up,-0.076,-0.046
178,Up,-0.071,-0.042
178,Up,-0.066,-0.046
178,Up,-0.071,-0.046
178,Up,-0.071,-0.046
178,Up,-0.076,-0.046
178,Up,-0.076,-0.051
178,Up,-0.081,-0.042
178,Up,-0.085,-0.042
178,Up,-0.085,-0.046
178,Up,-0.081,-0.042
178,Up,-0.081,-0.042
178,Up,-0.081,-0.042
178,Up,-0.081,-0.042
178,Up,-0.085,-0.046
178,Up,-0.085,-0.046
178,Up,-0.085,-0.042
178,Up,-0.09,-0.042
178,Up,-0.09,-0.046
178,Up,-0.09,-0.042
178,Up,-0.09,-0.037
178,Up,-0.095,-0.042
178,Up,-0.09,-0.046
178,Up,-0.09,-0.037
178,Up,-0.1,-0.046
178,Up,-0.095,-0.042
178,Up,-0.095,-0.042
178,Up,-0.095,-0.037
178,Up,-0.1,-0.046
178,Up,-0.095,-0.042
178,Up,-0.1,-0.042
178,Up,-0.1,-0.037
178,Up,-0.1,-0.042
178,Up,-0.105,-0.037
178,Up,-0.105,-0.037
178,Up,-0.105,-0.037
178,Up,-0.11,-0.037
178,Up,-0.105,-0.037
178,Up,-0.11,-0.027
178,Up,-0.115,-0.037
178,Up,-0.11,-0.027
178,Up,-0.11,-0.032
178,Up,-0.115,-0.037
178,Up,-0.115,-0.037
178,Up,-0.115,-0.037
178,Up,-0.115,-0.032
178,Up,-0.11,-0.037
178,Up,-0.115,-0.037
178,Up,-0.115,-0.032
178,Up,-0.115,-0.032
178,Up,-0.115,-0.032
178,Up,-0.12,-0.032
178,Up,-0.12,-0.032
178,Up,-0.125,-0.032
178,Up,-0.125,-0.032
178,Up,-0.12,-0.032
178,Up,-0.125,-0.032
178,Up,-0.125,-0.037
178,Up,-0.12,-0.037
178,Up,-0.125,-0.032
178,Up,-0.125,-0.032
178,Up,-0.125,-0.032
178,Up,-0.125,-0.032
178,Up,-0.129,-0.032
178,Up,-0.129,-0.037
178,Up,-0.129,-0.032
178,Up,-0.129,-0.037
178,Up,-0.129,-0.032
178,Up,-0.125,-0.032
178,Up,-0.134,-0.032
178,Up,-0.134,-0.032
178,Up,-0.129,-0.032
178,Up,-0.134,-0.027
178,Up,-0.129,-0.032
178,Up,-0.134,-0.032
178,Up,-0.134,-0.032
178,Up,-0.134,-0.032
178,Up,-0.134,-0.032
178,Up,-0.134,-0.032
178,Up,-0.129,-0.027
178,Up,-0.134,-0.027
178,Up,-0.139,-0.032
178,Up,-0.134,-0.032
178,Up,-0.134,-0.032
